#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
354774:7893,07/01/22 01:44:47,212,212,0.000014491,0.000014311
354777:7894,07/01/22 05:25:18,160,160,0.000005449,0.000005386
354780:7895,07/01/22 08:31:19,31,0,0.000000005,0
354784:7895,07/01/22 08:43:16,292,281,0.000000038,0.000000036
354787:7895,07/01/22 10:36:28,373,373,0.000000036,0.000000036
355058:7916,07/05/22 02:13:00,350,350,0.000000054,0.000000054
355100:7920,07/05/22 16:47:25,283,279,0.000026348,0.000025569
355101:7920,07/05/22 18:37:01,33,31,0.000002615,0.000002447
355102:7920,07/05/22 18:49:44,23,20,0.000001578,0.000001191
355103:7920,07/05/22 18:58:38,49,43,0.000004653,0.000003837
355104:7920,07/05/22 19:17:22,34,28,0.000003325,0.000002563
355105:7920,07/05/22 19:30:33,35,29,0.000003395,0.000002681
355106:7920,07/05/22 19:44:01,34,27,0.000003262,0.000002401
355107:7920,07/05/22 19:56:53,36,29,0.000003443,0.000002705
355108:7920,07/05/22 20:10:31,41,34,0.000004003,0.000003167
355109:7920,07/05/22 20:26:15,35,29,0.000003481,0.000002725
355110:7920,07/05/22 20:39:39,34,28,0.000003366,0.000002686
355111:7920,07/05/22 20:52:47,33,28,0.000003250,0.000002616
355112:7920,07/05/22 21:06:00,33,27,0.000003226,0.000002523
355113:7920,07/05/22 21:18:45,33,27,0.000003309,0.000002493
355114:7920,07/05/22 21:31:31,7,4,0.000000709,0.000000002
355115:7920,07/05/22 21:33:56,6,1,0.000000608,0.000000002
355116:7920,07/05/22 21:35:59,7,5,0.000000711,0.000000002
355117:7920,07/05/22 21:39:25,39,34,0.000003894,0.000003278
355118:7920,07/05/22 21:55:00,31,27,0.000003130,0.000002571
355119:7920,07/05/22 22:07:48,31,27,0.000003107,0.000002595
355120:7920,07/05/22 22:20:31,33,27,0.000003278,0.000002514
355121:7920,07/05/22 22:33:16,42,35,0.000004131,0.000003343
355122:7920,07/05/22 22:49:16,34,28,0.000003479,0.000002763
355123:7920,07/05/22 23:02:21,33,27,0.000003354,0.000002535
355124:7920,07/05/22 23:14:57,34,27,0.000003424,0.000002639
355125:7920,07/05/22 23:27:51,5,3,0.000000502,0.000000002
355126:7920,07/05/22 23:30:17,6,4,0.000000601,0.000000002
355127:7920,07/05/22 23:33:22,47,43,0.000004669,0.000004172
355128:7920,07/05/22 23:52:20,31,27,0.000003191,0.000002658
355129:7920,07/06/22 00:05:00,31,27,0.000003186,0.000002697
355130:7920,07/06/22 00:17:40,270,270,0.000026728,0.000026336
355133:7921,07/06/22 04:34:27,278,274,0.000055398,0.000053704
355134:7921,07/06/22 06:22:12,146,144,0.000031147,0.000029424
355135:7921,07/06/22 07:18:57,1081,1081,0.000213382,0.000206269
355203:7923,07/07/22 02:21:21,18,11,0.000015089,0.000007615
355204:7923,07/07/22 02:27:59,22,14,0.000017958,0.000006100
355205:7923,07/07/22 02:36:28,56,48,0.000046219,0.000029939
355206:7923,07/07/22 02:57:55,244,237,0.000192774,0.000148486
355207:7923,07/07/22 04:32:36,752,749,0.000546245,0.000535227
355208:7923,07/07/22 09:24:31,514,514,0.000391870,0.000384420
355374:7960,07/10/22 14:15:14,52,44,0.000344439,0.000191110
355375:7960,07/10/22 14:35:05,23,6,0.000156476,0.000018751
355376:7960,07/10/22 14:43:45,71,62,0.000477148,0.000232587
355379:7960,07/10/22 15:11:03,170,163,0.001069660,0.000907375
355380:7960,07/10/22 16:16:55,294,265,0.002322540,0.001648687
355381:7960,07/10/22 18:11:05,361,358,0.002607809,0.002136460
355382:7960,07/10/22 20:31:06,108,101,0.000701401,0.000541585
355383:7960,07/10/22 21:13:01,274,274,0.001587421,0.001337698
355404:7963,07/11/22 04:27:34,1079,1068,0.007818294,0.007430061
355405:7963,07/11/22 11:26:35,23,13,0.000145874,0.000056688
355406:7963,07/11/22 11:35:12,29,22,0.000185261,0.000100719
355407:7963,07/11/22 11:46:22,46,42,0.000290578,0.000185398
355408:7963,07/11/22 12:04:02,41,33,0.000254206,0.000147110
355409:7963,07/11/22 12:19:37,9,5,0.000054249,0.000000831
355410:7963,07/11/22 12:22:52,19,12,0.000115570,0.000043621
355411:7963,07/11/22 12:30:12,25,3,0.000151424,0.000001133
355414:7963,07/11/22 12:39:54,19,12,0.000114092,0.000042833
355415:7963,07/11/22 12:47:11,23,4,0.000136866,0
355417:7963,07/11/22 12:55:58,26,12,0.000153234,0.000046073
355418:7963,07/11/22 13:05:52,47,41,0.000272582,0.000230946
355419:7963,07/11/22 13:24:08,124,109,0.000517370,0.000502934
355429:7965,07/11/22 16:40:20,67,67,0.000426491,0.000390743
355435:7966,07/11/22 19:19:12,61,48,0.000485575,0.000264536
355437:7966,07/11/22 19:42:46,15,10,0.000121172,0.000055270
355438:7966,07/11/22 19:48:31,21,17,0.000175186,0.000092201
355439:7966,07/11/22 19:56:22,16,11,0.000131541,0.000058689
355440:7966,07/11/22 20:02:31,11,4,0.000089999,0.000000079
355441:7966,07/11/22 20:06:31,20,14,0.000165864,0.000080633
355442:7966,07/11/22 20:14:11,29,22,0.000240114,0.000133208
355443:7966,07/11/22 20:25:07,243,240,0.002034494,0.001924874
355444:7966,07/11/22 21:59:14,159,154,0.001327124,0.001227795
355445:7966,07/11/22 23:00:53,249,249,0.001602549,0.001550389
355454:7967,07/12/22 03:33:38,105,92,0.000689302,0.000584042
355455:7967,07/12/22 04:14:05,53,39,0.000341663,0.000246658
355456:7967,07/12/22 04:34:24,515,502,0.003112503,0.003066297
355457:7967,07/12/22 07:54:11,236,229,0.000000083,0.000000077
355458:7967,07/12/22 09:25:43,5,3,0.000000001,0
355459:7967,07/12/22 09:27:33,9,4,0.000000003,0
355460:7967,07/12/22 09:31:02,12,6,0.000000003,0
355461:7967,07/12/22 09:35:40,17,7,0.000000005,0
355462:7967,07/12/22 09:41:55,19,6,0.000000006,0
355463:7967,07/12/22 09:49:14,88,88,0.000000020,0.000000019
355558:7969,07/13/22 02:38:06,341,335,0.014531364,0.013477217
355559:7969,07/13/22 04:50:34,255,168,0.010077843,0.006771514
355679:7978,07/14/22 18:56:48,72,64,0.001448948,0.001166112
355680:7978,07/14/22 19:24:25,1660,1660,0.049971177,0.048049219
355768:8007,07/18/22 05:13:25,91,85,0.002844228,0.002451905
355769:8007,07/18/22 05:48:39,549,549,0.016798550,0.015885153
355862:8016,07/19/22 20:08:10,30,23,0.001829205,0.001201046
355863:8016,07/19/22 20:19:43,23,14,0.001377529,0.000737608
355865:8016,07/19/22 20:28:32,321,321,0.016240892,0.015583654
355870:8017,07/20/22 00:59:37,47,45,0.002412761,0.002072402
355871:8017,07/20/22 01:17:54,18,14,0.000983187,0.000492324
355872:8017,07/20/22 01:24:45,1228,1228,0.079157560,0.070226506
355892:8018,07/20/22 12:19:59,199,199,0.011560404,0.011068149
355912:8019,07/20/22 16:17:20,167,162,0.010580736,0.009218470
355913:8019,07/20/22 17:22:09,106,106,0.006321538,0.005841851
355921:8020,07/20/22 20:48:52,412,409,0.024788020,0.022958599
355933:8022,07/21/22 03:54:49,405,405,0.002378274,0.001617021
355942:8023,07/21/22 08:45:12,197,197,0.001665204,0.001561944
355988:8027,07/22/22 01:02:22,56,51,0.004437196,0.003189921
355989:8027,07/22/22 01:23:47,33,24,0.003185177,0.001268138
355990:8027,07/22/22 01:36:35,36,26,0.003731061,0.001670850
355991:8027,07/22/22 01:50:31,57,53,0.004822580,0.004181215
355992:8027,07/22/22 02:12:39,21,17,0.002109744,0.001556516
355993:8027,07/22/22 02:20:32,86,80,0.008440885,0.006903292
355994:8027,07/22/22 02:53:55,31,24,0.002887649,0.001770171
355995:8027,07/22/22 03:05:57,12,4,0.001101226,0.000015719
355996:8027,07/22/22 03:10:17,27,23,0.002494316,0.001720285
355997:8027,07/22/22 03:20:41,39,26,0.003530322,0.002132350
355998:8027,07/22/22 03:35:51,40,35,0.003508548,0.002649537
355999:8027,07/22/22 03:51:17,17,9,0.001456298,0.000646332
356001:8027,07/22/22 03:57:33,33,23,0.002839045,0.001817908
356002:8027,07/22/22 04:10:02,11,5,0.000917504,0.000353232
356003:8027,07/22/22 04:14:17,283,273,0.022220995,0.020930504
356004:8027,07/22/22 06:04:14,28,20,0.002085871,0.001389064
356005:8027,07/22/22 06:14:46,194,194,0.013030831,0.012538656
356041:8030,07/22/22 19:52:29,4,0,0.000413520,0
356042:8030,07/22/22 19:54:03,16,10,0.001125775,0.000000840
356043:8030,07/22/22 20:00:07,91,65,0.009813182,0.005587474
356046:8030,07/22/22 20:35:17,87,79,0.010768559,0.009439613
356047:8030,07/22/22 21:08:53,18,10,0.002224967,0.001043526
356048:8030,07/22/22 21:15:47,16,16,0.000471133,0.000348537
356071:8033,07/23/22 14:41:42,383,366,0.044789728,0.039034084
356073:8033,07/23/22 17:10:12,28,20,0.003345072,0.002124399
356074:8033,07/23/22 17:21:04,93,81,0.011247964,0.009318586
356075:8033,07/23/22 17:57:05,155,146,0.018849279,0.014000683
356076:8033,07/23/22 18:56:57,159,152,0.019511394,0.017147608
356077:8033,07/23/22 19:58:32,479,479,0.052584550,0.050375076
356135:8043,07/25/22 13:05:49,45,45,0.003844852,0.003400059
356155:8046,07/25/22 19:44:11,2,0,0.000240155,0
356158:8046,07/25/22 19:44:57,46,5,0.005373372,0.000000018
356161:8046,07/25/22 20:02:42,8,4,0.000911500,0.000000009
356162:8046,07/25/22 20:05:36,37,17,0.004128982,0.001836698
356163:8046,07/25/22 20:19:46,28,20,0.003187164,0.002092103
356164:8046,07/25/22 20:30:38,79,73,0.012447187,0.011408479
356165:8046,07/25/22 21:01:11,85,70,0.013242554,0.010862352
356170:8046,07/25/22 21:34:01,26,3,0.003931117,0.000292016
356174:8046,07/25/22 21:44:07,7,3,0.001046680,0.000268760
356175:8046,07/25/22 21:46:32,16,1,0.001012379,0.000015262
356177:8046,07/25/22 21:52:27,7,7,0,0
356309:8057,07/27/22 19:55:16,131,131,0.012013571,0.011129693
356316:8058,07/27/22 23:39:15,187,187,0.011579794,0.011309312
356321:8059,07/28/22 02:59:10,93,87,0.010821238,0.009178372
356322:8059,07/28/22 03:35:06,26,19,0.003112618,0.002064846
356323:8059,07/28/22 03:45:01,656,656,0.075951049,0.072194113
356371:8062,07/28/22 18:45:47,36,36,0.004006434,0.002975206
356375:8063,07/28/22 21:03:54,161,149,0.022011870,0.016049581
356377:8063,07/28/22 22:06:09,4,2,0.000619120,0.000024802
356378:8063,07/28/22 22:07:42,317,304,0.046466888,0.042518803
356381:8063,07/29/22 00:10:47,1220,1193,0.135765558,0.131360427
356383:8063,07/29/22 08:04:41,46,36,0.004030764,0.003032139
356384:8063,07/29/22 08:22:20,11,3,0.000965080,0.000010255
356385:8063,07/29/22 08:26:25,38,31,0.003305446,0.002492206
356386:8063,07/29/22 08:41:02,135,135,0.009333494,0.009179103
356426:8067,07/29/22 15:49:44,35,30,0.005069106,0.002850876
356427:8067,07/29/22 16:03:18,22,14,0.003523848,0.001824722
356428:8067,07/29/22 16:11:32,471,462,0.076363422,0.071867066
356431:8067,07/29/22 19:14:17,7,2,0.001188483,0.000062547
356432:8067,07/29/22 19:16:47,10,2,0.001706229,0.000040234
356433:8067,07/29/22 19:20:28,316,310,0.050573035,0.047882330
356434:8067,07/29/22 21:22:54,21,13,0.003148755,0.001716761
356435:8067,07/29/22 21:31:01,14,8,0.002082477,0.000889646
356436:8067,07/29/22 21:36:07,18,18,0.001743361,0.001702458
356446:8068,07/30/22 00:05:07,620,620,0.096010974,0.092929006
356466:8072,07/30/22 11:56:01,258,252,0.038674734,0.035999103
356467:8072,07/30/22 13:36:15,274,266,0.043055160,0.035881161
356468:8072,07/30/22 15:22:32,7,3,0.001102055,0.000069861
356469:8072,07/30/22 15:25:06,122,109,0.019046285,0.014092281
356470:8072,07/30/22 16:12:23,20,3,0.003162970,0.000000060
356471:8072,07/30/22 16:20:00,25,7,0.003915910,0.000899673
356472:8072,07/30/22 16:29:33,76,68,0.010332070,0.009291874
356473:8072,07/30/22 16:58:57,160,143,0.024168373,0.020735375
356474:8072,07/30/22 18:00:58,28,21,0.004095669,0.002788868
356475:8072,07/30/22 18:11:35,6,3,0.000879082,0.000006201
356476:8072,07/30/22 18:13:40,41,28,0.005916001,0.003648881
356478:8072,07/30/22 18:29:15,679,671,0.085264309,0.082375665
356479:8072,07/30/22 22:52:47,9,3,0.000986251,0.000000003
356480:8072,07/30/22 22:55:56,16,8,0.001754847,0.000000003
356481:8072,07/30/22 23:02:07,221,221,0.021613101,0.021373358
356488:8073,07/31/22 02:47:34,240,233,0.036162195,0.033582037
356489:8073,07/31/22 04:20:33,489,489,0.073697104,0.070671767
356523:8076,07/31/22 20:50:55,910,903,0.172022485,0.167261964
356524:8076,08/01/22 02:44:06,23,16,0.004165832,0.000106443
356525:8076,08/01/22 02:52:59,18,14,0.003235690,0.000169209
356526:8076,08/01/22 02:59:51,27,15,0.004815558,0.000188797
356527:8076,08/01/22 03:10:20,18,11,0.003181267,0.000071360
356528:8076,08/01/22 03:17:20,21,13,0.003679902,0.000145328
356529:8076,08/01/22 03:25:29,86,22,0.014699783,0.000143392
356530:8076,08/01/22 03:58:33,31,11,0.005182490,0.001468341
356531:8076,08/01/22 04:10:15,66,66,0.009119290,0.008972442
356563:8078,08/01/22 16:48:31,312,312,0.055965863,0.054812698
356568:8079,08/01/22 20:52:00,34,25,0.004760081,0.003385807
356569:8079,08/01/22 21:05:00,264,250,0.049638258,0.045325918
356570:8079,08/01/22 22:47:20,109,109,0.019518265,0.019096323
356576:8081,08/02/22 07:10:44,191,184,0.028706746,0.026172237
356577:8081,08/02/22 08:24:41,39,31,0.007558113,0.005691279
356578:8081,08/02/22 08:39:29,880,865,0.159784211,0.154532409
356580:8081,08/02/22 14:21:24,57,50,0.008956674,0.007737180
356581:8081,08/02/22 14:43:21,104,93,0.016004981,0.008922086
356582:8081,08/02/22 15:23:37,104,104,0.015308584,0.015143470
356613:8083,08/02/22 20:10:28,41,36,0.004403621,0.003195641
356614:8083,08/02/22 20:26:15,70,62,0.012994684,0.008924376
356615:8083,08/02/22 20:53:13,1306,1297,0.236929012,0.231009012
356616:8083,08/03/22 05:20:23,12,8,0.001775177,0.000000002
356617:8083,08/03/22 05:24:55,8,2,0.001186802,0.000000002
356618:8083,08/03/22 05:27:47,9,2,0.001309635,0.000000002
356619:8083,08/03/22 05:31:02,201,201,0.024261009,0.023994573
356709:8087,08/04/22 00:03:47,128,128,0.025231001,0.016952745
356719:8088,08/04/22 03:05:17,896,891,0.211429512,0.204387399
356720:8088,08/04/22 08:53:24,107,99,0.025361619,0.022701304
356721:8088,08/04/22 09:34:55,39,33,0.008999533,0.006722006
356722:8088,08/04/22 09:49:52,586,586,0.115955147,0.113718720
356788:8091,08/04/22 21:35:16,138,130,0.036962276,0.032730343
356789:8091,08/04/22 22:28:38,118,118,0.031316399,0.030352564
356810:8094,08/05/22 04:19:24,139,133,0.031769877,0.028725604
356811:8094,08/05/22 05:13:06,59,52,0.017811310,0.014819204
356812:8094,08/05/22 05:35:55,121,115,0.034904249,0.031865030
356813:8094,08/05/22 06:22:46,68,62,0.018856244,0.016362990
356814:8094,08/05/22 06:48:52,680,672,0.161526398,0.156811891
356815:8094,08/05/22 11:13:01,222,219,0.044027558,0.042702715
356824:8094,08/05/22 12:39:04,72,66,0.011541526,0.009487013
356825:8094,08/05/22 13:06:54,8,8,0.000649235,0.000538965
356902:8098,08/06/22 03:12:57,38,30,0.009419280,0.000515856
356906:8098,08/06/22 03:27:24,7,3,0.001877662,0.000440575
356908:8098,08/06/22 03:30:07,33,33,0.007645126,0.007133667
356919:8099,08/06/22 05:55:58,101,101,0.022458063,0.021463012
356937:8100,08/06/22 16:01:53,125,125,0.029871346,0.028524002
356943:8102,08/06/22 19:25:42,206,199,0.062358607,0.056085956
356944:8102,08/06/22 20:45:27,38,23,0.012787892,0.005217749
356945:8102,08/06/22 21:00:13,136,128,0.040060210,0.036006186
356946:8102,08/06/22 21:52:44,138,129,0.041305605,0.034507331
356947:8102,08/06/22 22:46:12,355,350,0.096053284,0.090602295
356948:8102,08/07/22 01:03:58,94,88,0.023003221,0.019945891
356949:8102,08/07/22 01:40:25,116,110,0.027137079,0.024717622
356950:8102,08/07/22 02:25:07,12,7,0.002781081,0.000001911
356951:8102,08/07/22 02:29:25,289,284,0.063102254,0.060485106
356952:8102,08/07/22 04:21:23,9,4,0.001865756,0.000000003
356953:8102,08/07/22 04:24:46,11,6,0.002264492,0.000000002
356954:8102,08/07/22 04:28:59,368,365,0.070957097,0.067964381
356955:8102,08/07/22 06:51:58,383,380,0.065036273,0.063311520
356956:8102,08/07/22 09:20:44,119,119,0.016195747,0.015912092
356968:8103,08/07/22 12:59:20,194,187,0.055157690,0.051017740
356969:8103,08/07/22 14:14:36,243,236,0.071740142,0.066250781
356970:8103,08/07/22 15:48:42,381,371,0.097392120,0.094907617
356977:8103,08/07/22 18:16:23,29,29,0,0
356997:8106,08/08/22 07:45:05,132,125,0.038671672,0.034049288
356998:8106,08/08/22 08:36:19,21,16,0.006900853,0.004579245
356999:8106,08/08/22 08:44:07,62,58,0.019973299,0.016770473
357000:8106,08/08/22 09:08:08,55,50,0.013485535,0.010918030
357001:8106,08/08/22 09:29:31,212,200,0.052590117,0.050873486
357005:8106,08/08/22 10:51:33,50,4,0,0
357059:8108,08/08/22 18:49:29,5,5,0.000077940,0.000071406
357070:8111,08/09/22 02:58:16,16,16,0.001276595,0.001105741
357076:8112,08/09/22 04:54:58,13,8,0.002590926,0.000916147
357077:8112,08/09/22 04:59:44,96,91,0.030928545,0.027325264
357078:8112,08/09/22 05:36:49,169,163,0.063495085,0.057639835
357079:8112,08/09/22 06:42:08,28,22,0.009801601,0.007410199
357080:8112,08/09/22 06:52:58,669,662,0.213065319,0.203779274
357081:8112,08/09/22 11:12:46,766,766,0.180206745,0.176532357
357096:8113,08/09/22 18:54:25,18,12,0.004702927,0.002141884
357098:8113,08/09/22 19:01:25,79,71,0.021577361,0.017622008
357100:8113,08/09/22 19:32:07,48,44,0.018033417,0.015107427
357101:8113,08/09/22 19:50:32,151,130,0.051479388,0.041431017
357102:8113,08/09/22 20:48:55,142,138,0.049270469,0.042869058
357103:8113,08/09/22 21:44:00,41,35,0.013565816,0.010650349
357104:8113,08/09/22 21:59:35,13,5,0.004248720,0.001398454
357105:8113,08/09/22 22:04:24,56,50,0.017937167,0.014879683
357106:8113,08/09/22 22:26:05,66,60,0.020659049,0.017022677
357110:8113,08/09/22 22:51:38,35,28,0.010720453,0.007578062
357112:8113,08/09/22 23:05:03,534,534,0.140533868,0.134186514
357268:8115,08/10/22 21:33:13,86,76,0.027690580,0.021418321
357269:8115,08/10/22 22:06:16,7,2,0.002680360,0.000091967
357270:8115,08/10/22 22:09:00,5,2,0.001903208,0.000070931
357271:8115,08/10/22 22:10:57,1584,1584,0.450165401,0.419328601
357328:8118,08/11/22 21:45:10,73,64,0.022483586,0.016740320
357329:8118,08/11/22 22:13:21,673,669,0.233431918,0.217219314
357330:8118,08/12/22 02:34:27,165,157,0.048587778,0.042451168
357331:8118,08/12/22 03:38:29,31,24,0.008722218,0.005561528
357332:8118,08/12/22 03:50:29,440,430,0.112700247,0.097900887
357333:8118,08/12/22 06:41:18,217,217,0.046019819,0.043887062
357401:8120,08/12/22 20:56:39,626,626,0.172398558,0.167685650
357406:8121,08/13/22 04:46:57,154,154,0.035453248,0.033557331
357438:8124,08/13/22 16:36:38,227,198,0.077950300,0.061987491
357440:8124,08/13/22 18:04:46,362,354,0.123145628,0.113610385
357441:8124,08/13/22 20:25:23,97,84,0.029615121,0.024800583
357442:8124,08/13/22 21:03:01,1386,1386,0.320147247,0.311593572
357447:8125,08/14/22 08:44:57,25,25,0.003018150,0.002657274
357472:8128,08/14/22 20:41:14,32,32,0.007986853,0.007509531
357478:8128,08/15/22 05:48:55,15,10,0.004327752,0.001893546
357479:8128,08/15/22 05:54:43,1065,1046,0.349945619,0.327925714
357482:8128,08/15/22 12:48:28,237,237,0.055145453,0.050109537
357538:8132,08/15/22 22:36:32,33,28,0.008684413,0.005891716
357539:8132,08/15/22 22:49:05,16,8,0.004224421,0.000361754
357540:8132,08/15/22 22:54:59,6,2,0.001709195,0.000075285
357542:8132,08/15/22 22:57:04,260,252,0.095268157,0.083668372
357550:8132,08/16/22 00:37:57,37,37,0.012845617,0.011725287
357610:8136,08/17/22 07:34:00,197,192,0.049725782,0.045322512
357611:8136,08/17/22 08:50:12,419,412,0.117332694,0.110069209
357612:8136,08/17/22 11:32:56,746,736,0.163689014,0.155255835
357613:8136,08/17/22 16:22:26,270,265,0.046660007,0.045516370
357687:8142,08/19/22 02:51:06,72,24,0.020343708,0.000450922
357688:8142,08/19/22 03:18:59,386,386,0.139184286,0.128937007
357696:8143,08/19/22 08:52:59,391,382,0.143783529,0.129671585
357697:8143,08/19/22 11:24:42,82,78,0.029021719,0.025227048
357698:8143,08/19/22 11:56:20,70,63,0.023881613,0.018517336
357699:8143,08/19/22 12:23:21,35,30,0.011586862,0.009171002
357700:8143,08/19/22 12:36:51,766,758,0.216217085,0.208245303
357701:8143,08/19/22 17:34:11,410,344,0.091667223,0.069067064
357704:8143,08/19/22 20:13:10,92,86,0.019045042,0.017230109
357705:8143,08/19/22 20:48:46,213,203,0.042007154,0.038450728
357706:8143,08/19/22 22:11:20,173,173,0.028882206,0.028103632
357720:8144,08/20/22 01:21:32,87,87,0.022473124,0.020580988
357732:8146,08/20/22 12:01:09,138,130,0.050850804,0.041170674
357733:8146,08/20/22 12:54:39,26,15,0.011263714,0.005122735
357734:8146,08/20/22 13:04:44,304,300,0.118514693,0.108482922
357735:8146,08/20/22 15:02:37,1131,1131,0.329995868,0.318547990
357754:8147,08/21/22 00:52:12,123,119,0.040197262,0.033522632
357755:8147,08/21/22 01:39:45,13,5,0.005446810,0
357756:8147,08/21/22 01:44:38,429,425,0.159079955,0.147894404
357757:8147,08/21/22 04:31:13,16,9,0.005358914,0.002110935
357758:8147,08/21/22 04:37:20,91,85,0.029717536,0.025170244
357759:8147,08/21/22 05:12:43,90,70,0.027087850,0.020434599
357760:8147,08/21/22 05:47:42,2,2,0,0
357766:8148,08/21/22 09:27:00,146,141,0.054436086,0.045885842
357767:8148,08/21/22 10:23:41,44,17,0.018942096,0.005848086
357769:8148,08/21/22 10:40:25,38,19,0.015941032,0.006691042
357770:8148,08/21/22 10:54:49,80,32,0.032724996,0.011888510
357771:8148,08/21/22 11:25:42,152,129,0.058292040,0.047836131
357776:8148,08/21/22 12:24:33,569,562,0.184854368,0.174693367
357777:8148,08/21/22 16:05:36,97,86,0.027119093,0.023178791
357778:8148,08/21/22 16:43:18,367,358,0.093220214,0.086924521
357779:8148,08/21/22 19:05:47,90,81,0.020989432,0.016853642
357780:8148,08/21/22 19:40:37,11,2,0.002537095,0.000103926
357781:8148,08/21/22 19:44:36,20,20,0.002241842,0.002078630
357802:8149,08/21/22 22:58:51,171,166,0.059831490,0.053266824
357803:8149,08/22/22 00:05:02,160,154,0.058265449,0.052605272
357804:8149,08/22/22 01:06:52,28,23,0.010202010,0.007676499
357805:8149,08/22/22 01:17:38,93,88,0.033068394,0.029522769
357806:8149,08/22/22 01:53:44,70,65,0.021748846,0.018219063
357807:8149,08/22/22 02:20:46,250,244,0.083382624,0.077760803
357808:8149,08/22/22 03:57:54,23,17,0.007164420,0.004306084
357809:8149,08/22/22 04:06:38,44,41,0.013630132,0.012018093
357812:8149,08/22/22 04:23:37,53,50,0.016122531,0.014521098
357813:8149,08/22/22 04:44:13,296,293,0.083976385,0.079167041
357814:8149,08/22/22 06:39:13,220,212,0.056512992,0.050887257
357815:8149,08/22/22 08:04:22,950,950,0.199162842,0.193992442
357885:8151,08/23/22 01:40:35,101,98,0.025435065,0.021822241
357886:8151,08/23/22 02:19:45,9,6,0.003204106,0.001329672
357887:8151,08/23/22 02:22:58,11,8,0.004086457,0.002116496
357888:8151,08/23/22 02:27:05,9,5,0.003381729,0.001285947
357889:8151,08/23/22 02:30:29,16,10,0.005974143,0.002503145
357890:8151,08/23/22 02:36:27,29,23,0.010689699,0.006508898
